"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.214310333E0,-6.450999872E-1,4.880741437E-1,-2.456046336E0,2.585833322E0
2.224286333E0,-8.881560241E-1,5.955678945E-1,-2.425450196E0,2.650722711E0
2.234262333E0,-1.047428624E0,6.728404208E-1,-2.346389408E0,2.656193556E0
2.244238333E0,-1.104491455E0,7.034456977E-1,-2.345693005E0,2.686449869E0
2.254214333E0,-1.108883810E0,7.407401162E-1,-2.274086832E0,2.636245464E0
2.264190333E0,-1.047186257E0,8.172644547E-1,-2.117858586E0,2.499969047E0
2.274166333E0,-1.018592056E0,9.649983050E-1,-1.878723838E0,2.344857088E0
2.284141333E0,-9.886568704E-1,1.152169944E0,-1.710427523E0,2.287028705E0
2.294117333E0,-1.069605943E0,1.339233702E0,-1.606463444E0,2.349112295E0
2.304093333E0,-1.272512439E0,1.526529082E0,-1.295087516E0,2.372094142E0
2.314069333E0,-1.542983732E0,1.651765770E0,-6.720725352E-1,2.358137072E0
2.324045333E0,-1.758785458E0,1.552598893E0,2.220579547E-1,2.356522723E0
2.334021333E0,-1.866035380E0,1.233253795E0,1.196581228E0,2.536692649E0
2.343997333E0,-1.968666294E0,8.193907946E-1,1.974035207E0,2.905832626E0
2.353973333E0,-2.122683708E0,5.788681369E-1,2.240218590E0,3.139976716E0
2.363949333E0,-2.277608172E0,6.591811788E-1,2.039693592E0,3.127677854E0
2.373924333E0,-2.459081041E0,8.948294514E-1,1.518395020E0,3.025445877E0
2.383900333E0,-2.505521382E0,9.634373177E-1,1.046476770E0,2.881139096E0
2.393876333E0,-2.416436859E0,9.789988051E-1,1.147748206E0,2.848671918E0
2.403852333E0,-2.049958379E0,8.564910856E-1,1.863476053E0,2.899732632E0
2.413828333E0,-1.550283688E0,5.931393265E-1,2.736967626E0,3.200966348E0
2.423804333E0,-1.222203434E0,1.404467396E-1,3.393574276E0,3.609688752E0
2.433779000E0,-1.132688264E0,-2.191057320E-1,3.743705549E0,3.917438100E0
2.443755000E0,-1.412201544E0,-4.490448198E-1,3.526878514E0,3.825549177E0
2.453731000E0,-1.807001891E0,-5.827031064E-1,3.024319099E0,3.570896912E0
2.463706000E0,-1.949455120E0,-7.246400271E-1,2.737871606E0,3.438229103E0
2.473682000E0,-1.690986554E0,-1.029272946E0,2.972875296E0,3.571669896E0
2.483658000E0,-1.243701746E0,-1.375108562E0,3.597025221E0,4.046765132E0
2.493634000E0,-1.019250818E0,-1.631938593E0,3.787877755E0,4.248542537E0
2.503610000E0,-1.086792445E0,-1.895302741E0,3.141837024E0,3.826804174E0
2.513586000E0,-1.236987242E0,-2.123860314E0,2.032230206E0,3.189181663E0
2.523562000E0,-1.433261315E0,-2.174619555E0,8.134108472E-1,2.728524401E0
2.533538000E0,-1.633128794E0,-2.073346657E0,-9.664570391E-2,2.641063499E0
2.543514000E0,-1.747204170E0,-1.726991661E0,-8.432965511E-1,2.597377848E0
2.553490000E0,-1.594808189E0,-1.414417785E0,-1.338602495E0,2.517110937E0
2.563465000E0,-1.026061801E0,-1.271452339E0,-1.290768762E0,2.082181036E0
2.573441000E0,-2.962507890E-1,-1.242765022E0,-9.205569810E-1,1.574691902E0
2.583417000E0,2.883095393E-1,-1.107613503E0,-6.147692370E-1,1.299181002E0
2.593393000E0,6.079848589E-1,-8.862781177E-1,-4.723193693E-1,1.173976183E0
2.603369000E0,7.540066445E-1,-7.052558494E-1,-6.493286204E-1,1.219647281E0
2.613345000E0,8.351396853E-1,-6.315469453E-1,-1.172074962E0,1.571645493E0
2.623321000E0,7.903909439E-1,-5.744884993E-1,-1.811497815E0,2.058222343E0
2.633297000E0,7.143486352E-1,-4.112634013E-1,-2.242430007E0,2.389126178E0
2.643273000E0,7.107473351E-1,-1.394787513E-1,-2.478679154E0,2.582337399E0
2.653248000E0,8.284339522E-1,9.526303841E-2,-2.706676710E0,2.832221155E0
2.663224000E0,9.422267622E-1,2.390883357E-1,-3.027888240E0,3.180104038E0
2.673200000E0,1.008483025E0,3.536146789E-1,-3.375258458E0,3.540402662E0
2.683176000E0,9.865819860E-1,4.093798669E-1,-3.588992901E0,3.744570193E0
